 written on 12Dec2022 at 11:54:37 
           6
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
    1    0    0    3    5    0.001092   -0.000000
    1    0    0    4    5    0.000000    0.000000
    1    0    0    5    5    0.006717   -0.000000
    1    0    0    6    5   -0.000000   -0.000000
    1    0    0    1    6   -0.001000    0.000000
    1    0    0    2    6    0.001092    0.000000
    1    0    0    3    6    0.001103    0.000000
    1    0    0    4    6    0.000012   -0.000000
    1    0    0    5    6   -0.000000    0.000000
    1    0    0    6    6    0.000757   -0.000000
    1    0    1    1    1    0.003470    0.000000
    1    0    1    2    1   -0.000000    0.000000
    1    0    1    3    1   -0.000012    0.000000
    1    0    1    4    1    0.003533   -0.000000
    1    0    1    5    1    0.001782   -0.000000
    1    0    1    6    1    0.001035   -0.000000
    1    0    1    1    2   -0.000000   -0.000000
    1    0    1    2    2   -0.005859   -0.000000
    1    0    1    3    2    0.000000   -0.000000
    1    0    1    4    2    0.001721   -0.000000
    1    0    1    5    2    0.002386   -0.000000
    1    0    1    6    2    0.001092   -0.000000
    1    0    1    1    3   -0.000012   -0.000000
    1    0    1    2    3    0.000000    0.000000
    1    0    1    3    3   -0.007283    0.000000
    1    0    1    4    3    0.001000    0.000000
    1    0    1    5    3    0.001092    0.000000
    1    0    1    6    3    0.001103   -0.000000
    1    0    1    1    4    0.003533    0.000000
    1    0    1    2    4    0.001721    0.000000
    1    0    1    3    4    0.001000   -0.000000
    1    0    1    4    4    0.003471    0.000000
    1    0    1    5    4    0.000000    0.000000
    1    0    1    6    4    0.000012   -0.000000
    1    0    1    1    5    0.001782    0.000000
    1    0    1    2    5    0.002386    0.000000
    1    0    1    3    5    0.001092   -0.000000
    1    0    1    4    5    0.000000   -0.000000
    1    0    1    5    5   -0.005859    0.000000
    1    0    1    6    5    0.000000   -0.000000
    1    0    1    1    6    0.001035    0.000000
    1    0    1    2    6    0.001092    0.000000
    1    0    1    3    6    0.001103    0.000000
    1    0    1    4    6    0.000012    0.000000
    1    0    1    5    6    0.000000    0.000000
    1    0    1    6    6   -0.007283   -0.000000
    1    1   -1    1    1    0.003470   -0.000000
    1    1   -1    2    1   -0.000011    0.000000
    1    1   -1    3    1    0.000006    0.000000
    1    1   -1    4    1    0.002475    0.000000
    1    1   -1    5    1    0.000025   -0.000000
    1    1   -1    6    1   -0.000014   -0.000000
    1    1   -1    1    2   -0.000011   -0.000000
    1    1   -1    2    2   -0.006927   -0.000000
    1    1   -1    3    2    0.000617    0.000000
    1    1   -1    4    2    0.000025    0.000000
    1    1   -1    5    2    0.002756   -0.000000
    1    1   -1    6    2    0.000014   -0.000000
    1    1   -1    1    3    0.000006   -0.000000
    1    1   -1    2    3    0.000617   -0.000000
    1    1   -1    3    3   -0.006215   -0.000000
    1    1   -1    4    3   -0.000014    0.000000
    1    1   -1    5    3    0.000014    0.000000
    1    1   -1    6    3    0.002772   -0.000000
    1    1   -1    1    4    0.002475   -0.000000
    1    1   -1    2    4    0.000025   -0.000000
    1    1   -1    3    4   -0.000014   -0.000000
    1    1   -1    4    4    0.003471    0.000000
    1    1   -1    5    4    0.000011    0.000000
    1    1   -1    6    4   -0.000006   -0.000000
    1    1   -1    1    5    0.000025    0.000000
    1    1   -1    2    5    0.002756    0.000000
    1    1   -1    3    5    0.000014   -0.000000
    1    1   -1    4    5    0.000011   -0.000000
    1    1   -1    5    5   -0.006927   -0.000000
    1    1   -1    6    5    0.000617   -0.000000
    1    1   -1    1    6   -0.000014    0.000000
    1    1   -1    2    6    0.000014    0.000000
    1    1   -1    3    6    0.002772    0.000000
    1    1   -1    4    6   -0.000006    0.000000
    1    1   -1    5    6    0.000617    0.000000
    1    1   -1    6    6   -0.006215   -0.000000
    1    1    0    1    1   -0.001860   -0.000000
    1    1    0    2    1   -0.000010    0.000000
    1    1    0    3    1    0.000006   -0.000000
    1    1    0    4    1    0.002475    0.000000
    1    1    0    5    1   -0.000025    0.000000
    1    1    0    6    1    0.000014    0.000000
    1    1    0    1    2   -0.000010   -0.000000
    1    1    0    2    2    0.002247    0.000000
    1    1    0    3    2    0.002580    0.000000
    1    1    0    4    2   -0.000025    0.000000
    1    1    0    5    2    0.002756    0.000000
    1    1    0    6    2    0.000014    0.000000
    1    1    0    1    3    0.000006    0.000000
    1    1    0    2    3    0.002580   -0.000000
    1    1    0    3    3    0.005227    0.000000
    1    1    0    4    3    0.000014   -0.000000
    1    1    0    5    3    0.000014    0.000000
    1    1    0    6    3    0.002772   -0.000000
    1    1    0    1    4    0.002475   -0.000000
    1    1    0    2    4   -0.000025   -0.000000
    1    1    0    3    4    0.000014    0.000000
    1    1    0    4    4   -0.001860    0.000000
    1    1    0    5    4    0.000010   -0.000000
    1    1    0    6    4   -0.000006    0.000000
    1    1    0    1    5   -0.000025   -0.000000
    1    1    0    2    5    0.002756   -0.000000
    1    1    0    3    5    0.000014   -0.000000
    1    1    0    4    5    0.000010    0.000000
    1    1    0    5    5    0.002247    0.000000
    1    1    0    6    5    0.002580    0.000000
    1    1    0    1    6    0.000014   -0.000000
    1    1    0    2    6    0.000014   -0.000000
    1    1    0    3    6    0.002772    0.000000
    1    1    0    4    6   -0.000006   -0.000000
    1    1    0    5    6    0.002580   -0.000000
    1    1    0    6    6    0.005227   -0.000000
    1    1    1    1    1    0.003470   -0.000000
    1    1    1    2    1   -0.000011    0.000000
    1    1    1    3    1    0.000006    0.000000
    1    1    1    4    1    0.002475    0.000000
    1    1    1    5    1    0.000025   -0.000000
    1    1    1    6    1   -0.000014   -0.000000
    1    1    1    1    2   -0.000011   -0.000000
    1    1    1    2    2   -0.006927   -0.000000
    1    1    1    3    2    0.000617    0.000000
    1    1    1    4    2    0.000025    0.000000
    1    1    1    5    2    0.002756   -0.000000
    1    1    1    6    2    0.000014   -0.000000
    1    1    1    1    3    0.000006   -0.000000
    1    1    1    2    3    0.000617   -0.000000
    1    1    1    3    3   -0.006215   -0.000000
    1    1    1    4    3   -0.000014    0.000000
    1    1    1    5    3    0.000014    0.000000
    1    1    1    6    3    0.002772   -0.000000
    1    1    1    1    4    0.002475   -0.000000
    1    1    1    2    4    0.000025   -0.000000
    1    1    1    3    4   -0.000014   -0.000000
    1    1    1    4    4    0.003471    0.000000
    1    1    1    5    4    0.000011    0.000000
    1    1    1    6    4   -0.000006   -0.000000
    1    1    1    1    5    0.000025    0.000000
    1    1    1    2    5    0.002756    0.000000
    1    1    1    3    5    0.000014   -0.000000
    1    1    1    4    5    0.000011   -0.000000
    1    1    1    5    5   -0.006927   -0.000000
    1    1    1    6    5    0.000617   -0.000000
    1    1    1    1    6   -0.000014    0.000000
    1    1    1    2    6    0.000014    0.000000
    1    1    1    3    6    0.002772    0.000000
    1    1    1    4    6   -0.000006    0.000000
    1    1    1    5    6    0.000617    0.000000
    1    1    1    6    6   -0.006215   -0.000000
